Number,Brand,Product,Vendor API Game Name,Vendor Game Name,Game Type,Sub Game Type,Min Limit,Max Limit,Vendor API Product Name,Vendor Bet Type,BetType,Sub Bet Type,Payout (Decimal Odd),Min Bet,Max Bet,Decks of Card,Margin,Time (Sec),Note for Mark
1,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker,Banker/Player,Banker,1.95,100,10000,8,,40,
2,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super6 Banker,Banker (No Comm),Banker (No Comm),2.00,100,10000,8,,40,
3,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player,Banker/Player,Player,2.00,100,10000,8,,40,
4,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super 6,Super 6,Super 6,13.00,100,833,8,,40,
5,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Tie,Tie,Tie,9.00,100,1250,8,,40,
6,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Bank Pairs,Pair,Banker Pair,12.00,100,909,8,,40,
7,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Play Pair,Pair,Player Pair,12.00,100,909,8,,40,
8,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Big,Big/Small,Big,1.54,100,10000,8,,40,
9,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Small,Big/Small,Small,2.50,100,6666,8,,40,
10,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Odds,Odd/Even,Banker Odd,1.94,100,10000,8,,40,
11,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Even,Odd/Even,Banker Even,1.94,100,10000,8,,40,
